Date,Open,High,Low,Close,Adj Close,Volume
2018-08-31,55.820000,56.209999,55.669998,56.040001,56.040001,271500
2018-09-04,55.869999,56.080002,55.660000,55.970001,55.970001,247600
2018-09-05,55.900002,56.630001,55.900002,56.590000,56.590000,270000
2018-09-06,56.599998,57.220001,56.599998,57.160000,57.160000,514500
2018-09-07,57.020000,57.250000,56.770000,56.970001,56.970001,370200
2018-09-10,57.290001,57.509998,56.970001,57.270000,57.270000,242100
2018-09-11,57.230000,57.480000,56.660000,57.360001,57.360001,248400
2018-09-12,57.330002,57.639999,57.160000,57.580002,57.580002,224500
2018-09-13,57.709999,58.080002,57.580002,58.029999,58.029999,316600
2018-09-14,58.150002,58.470001,57.880001,58.380001,58.380001,361000
2018-09-17,58.529999,58.689999,57.750000,57.930000,57.930000,331500
2018-09-18,57.910000,58.290001,57.400002,58.119999,58.119999,302300
2018-09-19,58.040001,58.060001,56.810001,56.970001,56.970001,393300
2018-09-20,57.290001,57.290001,56.779999,57.160000,57.160000,402800
2018-09-21,57.110001,57.250000,56.650002,56.730000,56.730000,550100
2018-09-24,56.740002,57.049999,56.290001,56.509998,56.509998,375400
2018-09-25,56.740002,56.820000,56.080002,56.150002,56.150002,697200
2018-09-26,56.209999,56.650002,55.689999,55.740002,55.740002,341800
2018-09-27,55.919998,56.049999,55.490002,55.509998,55.509998,278900
2018-09-28,55.419998,55.720001,55.299999,55.500000,55.500000,401800
